obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G03,LGAP,10,3,900,635199,22s-20-45-4.txt,45,20,8,3039.0
FCFS,LGAP,10,3,900,303107,22s-20-45-5.txt,45,20,11,3752.0
RANDOM,LGAP,10,3,900,264139,22s-20-45-5.txt,45,20,9,3476.0
SOP,LGAP,10,3,900,356786,22s-20-45-5.txt,45,20,20,5379.0
G01,LGAP,10,3,900,297101,22s-20-45-5.txt,45,20,9,3382.0
G02,LGAP,10,3,900,298066,22s-20-45-5.txt,45,20,10,3718.0
G03,LGAP,10,3,900,757781,22s-20-45-5.txt,45,20,9,3472.0
FCFS,LGAP,10,3,900,243397,22s-20-45-6.txt,45,20,8,3218.0
RANDOM,LGAP,10,3,900,216787,22s-20-45-6.txt,45,20,7,2871.0
SOP,LGAP,10,3,900,329171,22s-20-45-6.txt,45,20,20,4968.0
G01,LGAP,10,3,900,242085,22s-20-45-6.txt,45,20,7,2938.0
G02,LGAP,10,3,900,245281,22s-20-45-6.txt,45,20,8,3092.0
G03,LGAP,10,3,900,590955,22s-20-45-6.txt,45,20,7,2956.0
FCFS,LGAP,10,3,900,218868,22s-20-45-7.txt,45,20,7,2730.0
RANDOM,LGAP,10,3,900,191054,22s-20-45-7.txt,45,20,6,2494.0
SOP,LGAP,10,3,900,300956,22s-20-45-7.txt,45,20,20,4357.0
G01,LGAP,10,3,900,220570,22s-20-45-7.txt,45,20,6,2478.0
G02,LGAP,10,3,900,209539,22s-20-45-7.txt,45,20,7,2720.0
G03,LGAP,10,3,900,502555,22s-20-45-7.txt,45,20,6,2510.0
FCFS,LGAP,10,3,900,274203,22s-20-45-8.txt,45,20,9,3494.0
RANDOM,LGAP,10,3,900,240007,22s-20-45-8.txt,45,20,8,3251.0
SOP,LGAP,10,3,900,340482,22s-20-45-8.txt,45,20,20,5289.0
G01,LGAP,10,3,900,267697,22s-20-45-8.txt,45,20,8,3337.0
G02,LGAP,10,3,900,278304,22s-20-45-8.txt,45,20,9,3569.0
G03,LGAP,10,3,900,667152,22s-20-45-8.txt,45,20,8,3307.0
FCFS,LGAP,10,3,900,232920,22s-20-45-9.txt,45,20,8,3084.0
