obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G01,SSHAPE,10,3,900,426756,22s-20-45-5.txt,45,20,9,3490.0
G02,SSHAPE,10,3,900,388513,22s-20-45-5.txt,45,20,10,3780.0
G03,SSHAPE,10,3,900,2874717,22s-20-45-5.txt,45,20,9,3554.0
FCFS,SSHAPE,10,3,900,385587,22s-20-45-6.txt,45,20,8,3250.0
RANDOM,SSHAPE,10,3,900,419836,22s-20-45-6.txt,45,20,7,2990.0
SOP,SSHAPE,10,3,900,507618,22s-20-45-6.txt,45,20,20,5786.0
G01,SSHAPE,10,3,900,574555,22s-20-45-6.txt,45,20,7,3030.0
G02,SSHAPE,10,3,900,496301,22s-20-45-6.txt,45,20,8,3212.0
G03,SSHAPE,10,3,900,3025194,22s-20-45-6.txt,45,20,7,3002.0
FCFS,SSHAPE,10,3,900,247031,22s-20-45-7.txt,45,20,7,2756.0
RANDOM,SSHAPE,10,3,900,205582,22s-20-45-7.txt,45,20,6,2514.0
SOP,SSHAPE,10,3,900,275796,22s-20-45-7.txt,45,20,20,5002.0
G01,SSHAPE,10,3,900,287038,22s-20-45-7.txt,45,20,6,2470.0
G02,SSHAPE,10,3,900,264096,22s-20-45-7.txt,45,20,7,2684.0
G03,SSHAPE,10,3,900,1841214,22s-20-45-7.txt,45,20,6,2414.0
FCFS,SSHAPE,10,3,900,289946,22s-20-45-8.txt,45,20,9,3470.0
RANDOM,SSHAPE,10,3,900,268590,22s-20-45-8.txt,45,20,8,3268.0
SOP,SSHAPE,10,3,900,317297,22s-20-45-8.txt,45,20,20,5910.0
G01,SSHAPE,10,3,900,369056,22s-20-45-8.txt,45,20,8,3228.0
G02,SSHAPE,10,3,900,340195,22s-20-45-8.txt,45,20,9,3530.0
G03,SSHAPE,10,3,900,2915698,22s-20-45-8.txt,45,20,8,3264.0
FCFS,SSHAPE,10,3,900,378926,22s-20-45-9.txt,45,20,8,3204.0
RANDOM,SSHAPE,10,3,900,385726,22s-20-45-9.txt,45,20,7,2934.0
SOP,SSHAPE,10,3,900,484640,22s-20-45-9.txt,45,20,20,5654.0
G01,SSHAPE,10,3,900,498196,22s-20-45-9.txt,45,20,7,2914.0
G02,SSHAPE,10,3,900,487284,22s-20-45-9.txt,45,20,8,3296.0
G03,SSHAPE,10,3,900,2020199,22s-20-45-9.txt,45,20,7,2786.0
FCFS,SSHAPE,10,3,900,228054,22s-20-45-10.txt,45,20,7,2850.0
RANDOM,SSHAPE,10,3,900,221065,22s-20-45-10.txt,45,20,7,2934.0
