obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
G01,SSHAPE,10,3,900,525530,21s-20-30-32.txt,30,20,11,4034.0
G02,SSHAPE,10,3,900,531663,21s-20-30-32.txt,30,20,14,4886.0
G03,SSHAPE,10,3,900,1310585,21s-20-30-32.txt,30,20,12,4264.0
FCFS,SSHAPE,10,3,900,497498,21s-20-30-33.txt,30,20,13,4390.0
RANDOM,SSHAPE,10,3,900,463130,21s-20-30-33.txt,30,20,12,4188.0
SOP,SSHAPE,10,3,900,612846,21s-20-30-33.txt,30,20,20,5592.0
G01,SSHAPE,10,3,900,573105,21s-20-30-33.txt,30,20,11,3934.0
G02,SSHAPE,10,3,900,596013,21s-20-30-33.txt,30,20,14,4538.0
G03,SSHAPE,10,3,900,1548291,21s-20-30-33.txt,30,20,11,3912.0
FCFS,SSHAPE,10,3,900,527467,21s-20-30-34.txt,30,20,14,4532.0
RANDOM,SSHAPE,10,3,900,511079,21s-20-30-34.txt,30,20,12,4074.0
SOP,SSHAPE,10,3,900,583898,21s-20-30-34.txt,30,20,20,5358.0
G01,SSHAPE,10,3,900,555192,21s-20-30-34.txt,30,20,11,3900.0
G02,SSHAPE,10,3,900,576563,21s-20-30-34.txt,30,20,14,4532.0
G03,SSHAPE,10,3,900,1108935,21s-20-30-34.txt,30,20,12,4124.0
FCFS,SSHAPE,10,3,900,601132,21s-20-30-35.txt,30,20,16,5336.0
RANDOM,SSHAPE,10,3,900,592088,21s-20-30-35.txt,30,20,14,4970.0
SOP,SSHAPE,10,3,900,634250,21s-20-30-35.txt,30,20,20,6070.0
G01,SSHAPE,10,3,900,607869,21s-20-30-35.txt,30,20,13,4720.0
G02,SSHAPE,10,3,900,395353,21s-20-30-35.txt,30,20,16,5446.0
G03,SSHAPE,10,3,900,524176,21s-20-30-35.txt,30,20,14,5008.0
FCFS,SSHAPE,10,3,900,320751,21s-20-30-36.txt,30,20,14,4558.0
RANDOM,SSHAPE,10,3,900,292229,21s-20-30-36.txt,30,20,13,4400.0
SOP,SSHAPE,10,3,900,315175,21s-20-30-36.txt,30,20,20,5720.0
G01,SSHAPE,10,3,900,312777,21s-20-30-36.txt,30,20,12,4182.0
G02,SSHAPE,10,3,900,342252,21s-20-30-36.txt,30,20,14,4614.0
G03,SSHAPE,10,3,900,514969,21s-20-30-36.txt,30,20,12,4226.0
FCFS,SSHAPE,10,3,900,314519,21s-20-30-37.txt,30,20,14,4948.0
RANDOM,SSHAPE,10,3,900,283374,21s-20-30-37.txt,30,20,12,4436.0
SOP,SSHAPE,10,3,900,315814,21s-20-30-37.txt,30,20,20,5948.0
G01,SSHAPE,10,3,900,305500,21s-20-30-37.txt,30,20,11,4254.0
G02,SSHAPE,10,3,900,318798,21s-20-30-37.txt,30,20,14,4960.0
G03,SSHAPE,10,3,900,495188,21s-20-30-37.txt,30,20,12,4266.0
FCFS,SSHAPE,10,3,900,320953,21s-20-30-38.txt,30,20,14,4796.0
RANDOM,SSHAPE,10,3,900,299552,21s-20-30-38.txt,30,20,13,4468.0
SOP,SSHAPE,10,3,900,323401,21s-20-30-38.txt,30,20,20,5886.0
G01,SSHAPE,10,3,900,347826,21s-20-30-38.txt,30,20,13,4632.0
G02,SSHAPE,10,3,900,334756,21s-20-30-38.txt,30,20,15,5016.0
G03,SSHAPE,10,3,900,517209,21s-20-30-38.txt,30,20,13,4580.0
FCFS,SSHAPE,10,3,900,303686,21s-20-30-39.txt,30,20,14,4508.0
RANDOM,SSHAPE,10,3,900,277026,21s-20-30-39.txt,30,20,12,4354.0
SOP,SSHAPE,10,3,900,306278,21s-20-30-39.txt,30,20,20,5554.0
G01,SSHAPE,10,3,900,324167,21s-20-30-39.txt,30,20,12,4178.0
G02,SSHAPE,10,3,900,309003,21s-20-30-39.txt,30,20,14,4682.0
G03,SSHAPE,10,3,900,521859,21s-20-30-39.txt,30,20,12,4050.0
FCFS,SSHAPE,10,3,900,446261,22s-20-45-0.txt,45,20,9,3594.0
RANDOM,SSHAPE,10,3,900,310552,22s-20-45-0.txt,45,20,8,3142.0
SOP,SSHAPE,10,3,900,546325,22s-20-45-0.txt,45,20,20,5882.0
G01,SSHAPE,10,3,900,628736,22s-20-45-0.txt,45,20,8,3174.0
G02,SSHAPE,10,3,900,618109,22s-20-45-0.txt,45,20,9,3518.0
G03,SSHAPE,10,3,900,1524393,22s-20-45-0.txt,45,20,9,3428.0
FCFS,SSHAPE,10,3,900,430074,22s-20-45-1.txt,45,20,7,2692.0
RANDOM,SSHAPE,10,3,900,435235,22s-20-45-1.txt,45,20,6,2460.0
SOP,SSHAPE,10,3,900,508526,22s-20-45-1.txt,45,20,20,5136.0
G01,SSHAPE,10,3,900,464723,22s-20-45-1.txt,45,20,6,2458.0
G02,SSHAPE,10,3,900,478932,22s-20-45-1.txt,45,20,6,2674.0
G03,SSHAPE,10,3,900,1111898,22s-20-45-1.txt,45,20,6,2312.0
FCFS,SSHAPE,10,3,900,577251,22s-20-45-2.txt,45,20,8,3230.0
RANDOM,SSHAPE,10,3,900,644923,22s-20-45-2.txt,45,20,8,3046.0
SOP,SSHAPE,10,3,900,623426,22s-20-45-2.txt,45,20,20,5576.0
G01,SSHAPE,10,3,900,626491,22s-20-45-2.txt,45,20,8,3100.0
G02,SSHAPE,10,3,900,561425,22s-20-45-2.txt,45,20,9,3300.0
G03,SSHAPE,10,3,900,1433600,22s-20-45-2.txt,45,20,8,3034.0
FCFS,SSHAPE,10,3,900,445012,22s-20-45-3.txt,45,20,8,2886.0
RANDOM,SSHAPE,10,3,900,498093,22s-20-45-3.txt,45,20,7,2916.0
SOP,SSHAPE,10,3,900,549181,22s-20-45-3.txt,45,20,20,5458.0
G01,SSHAPE,10,3,900,550899,22s-20-45-3.txt,45,20,7,2856.0
G02,SSHAPE,10,3,900,509805,22s-20-45-3.txt,45,20,8,3170.0
G03,SSHAPE,10,3,900,1244228,22s-20-45-3.txt,45,20,7,2806.0
FCFS,SSHAPE,10,3,900,511020,22s-20-45-4.txt,45,20,8,3314.0
RANDOM,SSHAPE,10,3,900,580685,22s-20-45-4.txt,45,20,8,3206.0
SOP,SSHAPE,10,3,900,547959,22s-20-45-4.txt,45,20,20,5842.0
G01,SSHAPE,10,3,900,574301,22s-20-45-4.txt,45,20,7,3034.0
G02,SSHAPE,10,3,900,539379,22s-20-45-4.txt,45,20,8,3280.0
G03,SSHAPE,10,3,900,1371844,22s-20-45-4.txt,45,20,8,3346.0
FCFS,SSHAPE,10,3,900,576080,22s-20-45-5.txt,45,20,11,4024.0
RANDOM,SSHAPE,10,3,900,545127,22s-20-45-5.txt,45,20,9,3578.0
SOP,SSHAPE,10,3,900,587919,22s-20-45-5.txt,45,20,20,6118.0
G01,SSHAPE,10,3,900,643880,22s-20-45-5.txt,45,20,9,3490.0
G02,SSHAPE,10,3,900,591396,22s-20-45-5.txt,45,20,10,3780.0
G03,SSHAPE,10,3,900,1489941,22s-20-45-5.txt,45,20,9,3554.0
FCFS,SSHAPE,10,3,900,468317,22s-20-45-6.txt,45,20,8,3250.0
RANDOM,SSHAPE,10,3,900,458041,22s-20-45-6.txt,45,20,7,2934.0
SOP,SSHAPE,10,3,900,536810,22s-20-45-6.txt,45,20,20,5786.0
G01,SSHAPE,10,3,900,485533,22s-20-45-6.txt,45,20,7,3030.0
G02,SSHAPE,10,3,900,494034,22s-20-45-6.txt,45,20,8,3212.0
G03,SSHAPE,10,3,900,1284203,22s-20-45-6.txt,45,20,7,3002.0
FCFS,SSHAPE,10,3,900,410881,22s-20-45-7.txt,45,20,7,2756.0
RANDOM,SSHAPE,10,3,900,374756,22s-20-45-7.txt,45,20,6,2448.0
SOP,SSHAPE,10,3,900,497018,22s-20-45-7.txt,45,20,20,5002.0
G01,SSHAPE,10,3,900,451486,22s-20-45-7.txt,45,20,6,2470.0
G02,SSHAPE,10,3,900,402693,22s-20-45-7.txt,45,20,7,2684.0
G03,SSHAPE,10,3,900,1064568,22s-20-45-7.txt,45,20,6,2414.0
FCFS,SSHAPE,10,3,900,452363,22s-20-45-8.txt,45,20,9,3470.0
RANDOM,SSHAPE,10,3,900,476112,22s-20-45-8.txt,45,20,8,3334.0
SOP,SSHAPE,10,3,900,559039,22s-20-45-8.txt,45,20,20,5910.0
G01,SSHAPE,10,3,900,533719,22s-20-45-8.txt,45,20,8,3228.0
G02,SSHAPE,10,3,900,519781,22s-20-45-8.txt,45,20,9,3530.0
G03,SSHAPE,10,3,900,1327253,22s-20-45-8.txt,45,20,8,3264.0
FCFS,SSHAPE,10,3,900,391134,22s-20-45-9.txt,45,20,8,3204.0
RANDOM,SSHAPE,10,3,900,431188,22s-20-45-9.txt,45,20,7,2884.0
SOP,SSHAPE,10,3,900,491684,22s-20-45-9.txt,45,20,20,5654.0
G01,SSHAPE,10,3,900,455024,22s-20-45-9.txt,45,20,7,2914.0
G02,SSHAPE,10,3,900,439489,22s-20-45-9.txt,45,20,8,3296.0
G03,SSHAPE,10,3,900,1143811,22s-20-45-9.txt,45,20,7,2786.0
FCFS,SSHAPE,10,3,900,398664,22s-20-45-10.txt,45,20,7,2850.0
RANDOM,SSHAPE,10,3,900,382164,22s-20-45-10.txt,45,20,7,2942.0
SOP,SSHAPE,10,3,900,541242,22s-20-45-10.txt,45,20,20,5732.0
G01,SSHAPE,10,3,900,460885,22s-20-45-10.txt,45,20,7,2878.0
G02,SSHAPE,10,3,900,448133,22s-20-45-10.txt,45,20,7,2938.0
G03,SSHAPE,10,3,900,1144108,22s-20-45-10.txt,45,20,7,2780.0
FCFS,SSHAPE,10,3,900,454130,22s-20-45-11.txt,45,20,9,3636.0
RANDOM,SSHAPE,10,3,900,438882,22s-20-45-11.txt,45,20,8,3566.0
SOP,SSHAPE,10,3,900,543820,22s-20-45-11.txt,45,20,20,6150.0
G01,SSHAPE,10,3,900,559524,22s-20-45-11.txt,45,20,8,3420.0
G02,SSHAPE,10,3,900,522652,22s-20-45-11.txt,45,20,9,3694.0
G03,SSHAPE,10,3,900,1328364,22s-20-45-11.txt,45,20,8,3302.0
FCFS,SSHAPE,10,3,900,501335,22s-20-45-12.txt,45,20,8,3252.0
RANDOM,SSHAPE,10,3,900,429911,22s-20-45-12.txt,45,20,8,3324.0
SOP,SSHAPE,10,3,900,569973,22s-20-45-12.txt,45,20,20,5594.0
G01,SSHAPE,10,3,900,545322,22s-20-45-12.txt,45,20,8,3150.0
G02,SSHAPE,10,3,900,485557,22s-20-45-12.txt,45,20,8,3198.0
G03,SSHAPE,10,3,900,1347128,22s-20-45-12.txt,45,20,8,3206.0
