obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance,type_experiment
G03,LGAP,10,3,900,911869,1l-20-30-25.txt,30,20,12,3984,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,597143,1l-20-30-26.txt,30,20,14,4334,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,378463,1l-20-30-26.txt,30,20,13,4253,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,403366,1l-20-30-26.txt,30,20,20,5225,WITH_ENCAPSULATION
G01,LGAP,10,3,900,374171,1l-20-30-26.txt,30,20,12,4005,WITH_ENCAPSULATION
G02,LGAP,10,3,900,548225,1l-20-30-26.txt,30,20,15,4606,WITH_ENCAPSULATION
G03,LGAP,10,3,900,913712,1l-20-30-26.txt,30,20,13,4242,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,601307,1l-20-30-27.txt,30,20,14,4223,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,578443,1l-20-30-27.txt,30,20,12,3853,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,751433,1l-20-30-27.txt,30,20,20,4947,WITH_ENCAPSULATION
G01,LGAP,10,3,900,608711,1l-20-30-27.txt,30,20,12,3882,WITH_ENCAPSULATION
G02,LGAP,10,3,900,655578,1l-20-30-27.txt,30,20,14,4161,WITH_ENCAPSULATION
G03,LGAP,10,3,900,930959,1l-20-30-27.txt,30,20,13,4042,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,557352,1l-20-30-28.txt,30,20,12,3829,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,546015,1l-20-30-28.txt,30,20,13,3961,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,669308,1l-20-30-28.txt,30,20,20,4810,WITH_ENCAPSULATION
G01,LGAP,10,3,900,580262,1l-20-30-28.txt,30,20,11,3681,WITH_ENCAPSULATION
G02,LGAP,10,3,900,600244,1l-20-30-28.txt,30,20,13,4043,WITH_ENCAPSULATION
G03,LGAP,10,3,900,876736,1l-20-30-28.txt,30,20,12,3863,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,578594,1l-20-30-29.txt,30,20,14,4205,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,526718,1l-20-30-29.txt,30,20,11,3827,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,672215,1l-20-30-29.txt,30,20,20,4905,WITH_ENCAPSULATION
G01,LGAP,10,3,900,604895,1l-20-30-29.txt,30,20,11,3739,WITH_ENCAPSULATION
G02,LGAP,10,3,900,627448,1l-20-30-29.txt,30,20,13,3967,WITH_ENCAPSULATION
G03,LGAP,10,3,900,883755,1l-20-30-29.txt,30,20,12,3854,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,549972,1l-20-30-30.txt,30,20,13,3840,WITH_ENCAPSULATION
